Wind Speed,Enercon.E112.4500,Vestas.V136.3450
7.53,0.316427,0.503884
7.54,0.316542,0.505855
7.55,0.317686,0.507826
7.56,0.31883,0.509797
7.57,0.319975,0.511768
7.58,0.322155,0.513739
7.59,0.322268,0.51571
7.6,0.324453,0.517681
7.61,0.324567,0.519652
7.62,0.325717,0.521623
7.63,0.326868,0.523594
7.64,0.32802,0.525565
7.65,0.330215,0.527536
7.66,0.330327,0.529507
7.67,0.331481,0.531478
7.68,0.332637,0.533449
7.69,0.333793,0.53542
7.7,0.334951,0.537391
7.71,0.336109,0.539362
7.72,0.337267,0.541333
7.73,0.338427,0.543304
7.74,0.340641,0.545275
7.75,0.340749,0.547246
7.76,0.342966,0.549217
7.77,0.343073,0.551188
7.78,0.345295,0.553159
7.79,0.345401,0.55513
7.8,0.347626,0.557101
7.81,0.347731,0.559072
7.82,0.348897,0.561043
7.83,0.351127,0.563014
7.84,0.351231,0.564986
7.85,0.353464,0.566957
7.86,0.353567,0.568928
7.87,0.355803,0.570899
7.88,0.355905,0.57287
7.89,0.357075,0.574841
7.9,0.359316,0.576812
7.91,0.359416,0.578783
7.92,0.361661,0.580754
7.93,0.36176,0.582725
7.94,0.364007,0.584696
7.95,0.364105,0.586667
7.96,0.365279,0.588638
7.97,0.366452,0.590609
7.98,0.367626,0.59258
7.99,0.36988,0.594551
8,0.369976,0.596522
8.01,0.372231,0.598829
8.02,0.372326,0.601136
8.03,0.373502,0.603443
8.04,0.374678,0.605751
8.05,0.375854,0.608058
8.06,0.37703,0.610365
8.07,0.378207,0.612672
8.08,0.38047,0.61498
8.09,0.380561,0.617287
8.1,0.381739,0.619594
8.11,0.382916,0.621901
8.12,0.384094,0.624209
8.13,0.385272,0.626516
8.14,0.386449,0.628823
8.15,0.388719,0.63113
8.16,0.388806,0.633438
8.17,0.389984,0.635745
8.18,0.391163,0.638052
8.19,0.392341,0.640359
8.2,0.39352,0.642667
8.21,0.395793,0.644974
8.22,0.395876,0.647281
8.23,0.397055,0.649588
8.24,0.39933,0.651896
8.25,0.399411,0.654203
8.26,0.401688,0.65651
8.27,0.401768,0.658817
8.28,0.404045,0.661125
8.29,0.404124,0.663432
8.3,0.405302,0.665739
8.31,0.40648,0.668046
8.32,0.407658,0.670354
8.33,0.409937,0.672661
8.34,0.410013,0.674968
8.35,0.412292,0.677275
8.36,0.412367,0.679583
8.37,0.413543,0.68189
8.38,0.41472,0.684197
8.39,0.415896,0.686504
8.4,0.418176,0.688812
8.41,0.418248,0.691119
8.42,0.420528,0.693426
8.43,0.420598,0.695733
8.44,0.421773,0.698041
8.45,0.422946,0.700348
8.46,0.424121,0.702655
8.47,0.425295,0.704962
8.48,0.426467,0.70727
8.49,0.428748,0.709577
8.5,0.428813,0.711884
8.51,0.429985,0.714191
8.52,0.431157,0.716499
8.53,0.432328,0.718806
8.54,0.433499,0.721113
8.55,0.434669,0.72342
8.56,0.435838,0.725728
8.57,0.437008,0.728035
8.58,0.438176,0.730342
8.59,0.439345,0.732649
8.6,0.440512,0.734957
8.61,0.441679,0.737264
8.62,0.443955,0.739571
8.63,0.444011,0.741878
8.64,0.446287,0.744186
8.65,0.447451,0.746493
8.66,0.447505,0.7488
8.67,0.449779,0.751107
8.68,0.449832,0.753414
8.69,0.452104,0.755722
8.7,0.452155,0.758029
8.71,0.453316,0.760336
8.72,0.454476,0.762643
8.73,0.455635,0.764951
8.74,0.457903,0.767258
8.75,0.457951,0.769565
8.76,0.460218,0.771872
8.77,0.460264,0.77418
8.78,0.46253,0.776487
8.79,0.462574,0.778794
8.8,0.463728,0.781101
8.81,0.464881,0.783409
8.82,0.466033,0.785716
8.83,0.468294,0.788023
8.84,0.468335,0.79033
8.85,0.470594,0.792638
8.86,0.470634,0.794945
8.87,0.471781,0.797252
8.88,0.472928,0.799559
8.89,0.474074,0.801867
8.9,0.476328,0.804174
8.91,0.476364,0.806481
8.92,0.477507,0.808788
8.93,0.478649,0.811096
8.94,0.47979,0.813403
8.95,0.480931,0.81571
8.96,0.48207,0.818017
8.97,0.483208,0.820325
8.98,0.484345,0.822632
8.99,0.486588,0.824939
9,0.486617,0.827246
9.01,0.488856,0.829252
9.02,0.488884,0.831258
9.03,0.491121,0.833264
9.04,0.491147,0.83527
9.05,0.493381,0.837275
9.06,0.493406,0.839281
9.07,0.494533,0.841287
9.08,0.496763,0.843293
9.09,0.496785,0.845299
9.1,0.499011,0.847304
9.11,0.499033,0.84931
9.12,0.501255,0.851316
9.13,0.501275,0.853322
9.14,0.502395,0.855328
9.15,0.504613,0.857333
9.16,0.50463,0.859339
9.17,0.506845,0.861345
9.18,0.50686,0.863351
9.19,0.509072,0.865357
9.2,0.509087,0.867362
9.21,0.510198,0.869368
9.22,0.511307,0.871374
9.23,0.512416,0.87338
9.24,0.514618,0.875386
9.25,0.514629,0.877391
9.26,0.516828,0.879397
9.27,0.516837,0.881403
9.28,0.517939,0.883409
9.29,0.51904,0.885414
9.3,0.520139,0.88742
9.31,0.521236,0.889426
9.32,0.522334,0.891432
9.33,0.524519,0.893438
9.34,0.524523,0.895443
9.35,0.525615,0.897449
9.36,0.526706,0.899455
9.37,0.527796,0.901461
9.38,0.528885,0.903467
9.39,0.529971,0.905472
9.4,0.532142,0.907478
9.41,0.532141,0.909484
9.42,0.533224,0.91149
9.43,0.534305,0.913496
9.44,0.535385,0.915501
9.45,0.536464,0.917507
9.46,0.538621,0.919513
9.47,0.538615,0.921519
9.48,0.53969,0.923525
9.49,0.541841,0.92553
9.5,0.541833,0.927536
9.51,0.54398,0.928783
9.52,0.543971,0.930029
9.53,0.546113,0.931275
9.54,0.546102,0.932522
9.55,0.547166,0.933768
9.56,0.548228,0.935014
9.57,0.549288,0.936261
9.58,0.551418,0.937507
9.59,0.551405,0.938754
9.6,0.55353,0.94
9.61,0.553514,0.941246
9.62,0.554567,0.942493
9.63,0.555618,0.943739
9.64,0.556668,0.944986
9.65,0.558781,0.946232
9.66,0.558762,0.947478
9.67,0.56087,0.948725
9.68,0.56085,0.949971
9.69,0.561891,0.951217
9.7,0.562931,0.952464
9.71,0.563969,0.95371
9.72,0.565006,0.954957
9.73,0.56604,0.956203
9.74,0.568131,0.957449
9.75,0.568106,0.958696
9.76,0.569136,0.959942
9.77,0.570164,0.961188
9.78,0.571191,0.962435
9.79,0.572216,0.963681
9.8,0.57324,0.964928
9.81,0.574261,0.966174
9.82,0.575281,0.96742
9.83,0.5763,0.968667
9.84,0.577316,0.969913
9.85,0.578331,0.971159
9.86,0.579344,0.972406
9.87,0.5814,0.973652
9.88,0.581366,0.974899
9.89,0.583416,0.976145
9.9,0.584422,0.977391
9.91,0.584386,0.978638
9.92,0.586427,0.979884
9.93,0.58639,0.98113
9.94,0.588426,0.982377
9.95,0.588387,0.983623
9.96,0.589383,0.98487
9.97,0.590378,0.986116
9.98,0.59137,0.987362
9.99,0.593392,0.988609
10,0.59335,0.989855
10.01,0.595366,0.990029
10.02,0.595323,0.990203
10.03,0.596307,0.990377
10.04,0.597289,0.990551
10.05,0.598269,0.990725
10.06,0.599247,0.990899
10.07,0.600224,0.991072
10.08,0.60222,0.991246
10.09,0.602172,0.99142
10.1,0.604162,0.991594
10.11,0.604113,0.991768
10.12,0.605081,0.991942
10.13,0.606047,0.992116
10.14,0.607011,0.99229
10.15,0.608986,0.992464
10.16,0.609945,0.992638
10.17,0.610903,0.992812
10.18,0.610849,0.992986
10.19,0.612812,0.993159
10.2,0.612758,0.993333
10.21,0.614714,0.993507
10.22,0.614658,0.993681
10.23,0.616609,0.993855
10.24,0.617554,0.994029
10.25,0.617497,0.994203
10.26,0.619438,0.994377
10.27,0.619379,0.994551
10.28,0.621315,0.994725
10.29,0.621255,0.994899
10.3,0.623184,0.995072
10.31,0.623123,0.995246
10.32,0.624055,0.99542
10.33,0.625974,0.995594
10.34,0.625912,0.995768
10.35,0.627825,0.995942
10.36,0.627761,0.996116
10.37,0.629668,0.99629
10.38,0.629603,0.996464
10.39,0.630522,0.996638
10.4,0.632419,0.996812
10.41,0.632353,0.996986
10.42,0.634244,0.997159
10.43,0.634177,0.997333
10.44,0.636062,0.997507
10.45,0.635993,0.997681
10.46,0.636898,0.997855
10.47,0.637802,0.998029
10.48,0.638703,0.998203
10.49,0.640572,0.998377
10.5,0.640501,0.998551
10.51,0.642363,0.99858
10.52,0.642291,0.998609
10.53,0.643183,0.998638
10.54,0.644073,0.998667
10.55,0.644962,0.998696
10.56,0.645848,0.998725
10.57,0.646733,0.998754
10.58,0.648573,0.998783
10.59,0.648497,0.998812
10.6,0.649376,0.998841
10.61,0.650253,0.99887
10.62,0.65208,0.998899
10.63,0.652002,0.998928
10.64,0.653823,0.998957
10.65,0.654691,0.998986
10.66,0.654611,0.999014
